fid,dim,iid,rep,obj_value,set_skewness,set_quad_simp_r2,set_fd,set_lin_inter_r2,set_nbc_sd,set_nbc_cor,set_lin_simple_r2,set_quad_inter_r2,cma_skewness,cma_quad_simp_r2,cma_fd,cma_lin_inter_r2,cma_nbc_sd,cma_nbc_cor,cma_lin_simple_r2,cma_quad_inter_r2
1,2,1,0,0.0005465436189091659,0.22108366589197248,1.0,0.2979586425772753,0.2984990378557656,0.9084386751254535,0.8328558761663339,0.2950926764880939,1.0,0.6028447815152093,0.952977990205393,0.015464673865019056,0.29364104109858136,0.7168984401669437,-0.17542405190625782,0.2939682243977072,0.9658581490345596
1,2,1,1,0.0016919332441250388,0.22108366589197248,1.0,0.2979586425772753,0.2984990378557656,0.9084386751254535,0.8328558761663339,0.2950926764880939,1.0,0.40107247598519313,0.9308027177327393,0.015437984902315533,0.28486073776889,0.713501844713483,-0.17372688515304366,0.28523848231730853,0.9512591992531267
1,2,1,2,0.0033937281906564424,0.22108366589197248,1.0,0.2979586425772753,0.2984990378557656,0.9084386751254535,0.8328558761663339,0.2950926764880939,1.0,0.44908135285658296,0.8707990044394016,0.015131885299237839,0.30776214864761553,0.6880056478267139,-0.17558349897258252,0.3078252101134138,0.9368779408964754
1,2,1,3,0.002692320804469825,0.22108366589197248,1.0,0.2979586425772753,0.2984990378557656,0.9084386751254535,0.8328558761663339,0.2950926764880939,1.0,0.39765612461352906,0.8974159032090812,0.015152621785588074,0.30121755418009477,0.6877813565345061,-0.17441798553587945,0.3015103072812819,0.9465120608745768
1,2,1,4,0.001071671700958476,0.22108366589197248,1.0,0.2979586425772753,0.2984990378557656,0.9084386751254535,0.8328558761663339,0.2950926764880939,1.0,0.49970199507718105,0.9404493985267507,0.015305369235711554,0.2943358729804322,0.7143624200059892,-0.1739323149346323,0.2955472033937785,0.9560462692585123
2,2,1,0,0.007880457178257649,0.2238507567031078,0.9979464540402283,0.052156633339813116,0.10376701741128619,0.39645399011200416,0.8453185278278886,0.1018860488035072,0.9981805628945701,0.06010003173843252,0.8446950780744172,0.00377597992524995,0.1282589937366283,0.39462706978587947,-0.18688810622160873,0.1280809131640045,0.8962012070790452
2,2,1,1,8.092402999803125e-05,0.2238507567031078,0.9979464540402283,0.052156633339813116,0.10376701741128619,0.39645399011200416,0.8453185278278886,0.1018860488035072,0.9981805628945701,0.7186381468797399,0.9787406392526183,0.002737724723100124,0.09723777550893542,0.3967512220195565,-0.1662695542417382,0.09847589708082072,0.9829322028007546
2,2,1,2,0.00032286034367442015,0.2238507567031078,0.9979464540402283,0.052156633339813116,0.10376701741128619,0.39645399011200416,0.8453185278278886,0.1018860488035072,0.9981805628945701,0.6861745810608528,0.9531990258133539,0.0026359828396050715,0.09555638521787257,0.3971101258563248,-0.16776127050659032,0.09679284934666355,0.9786196501000016
2,2,1,3,7.211832789704707e-05,0.2238507567031078,0.9979464540402283,0.052156633339813116,0.10376701741128619,0.39645399011200416,0.8453185278278886,0.1018860488035072,0.9981805628945701,0.7149715482973493,0.9813773374143112,0.002703752919151969,0.098661445821836,0.3964939755295824,-0.16731217415373326,0.09641264197530708,0.9826539405926658
2,2,1,4,5.261525155609754e-05,0.2238507567031078,0.9979464540402283,0.052156633339813116,0.10376701741128619,0.39645399011200416,0.8453185278278886,0.1018860488035072,0.9981805628945701,0.7400809101066657,0.9817195476808618,0.0027284236360484576,0.09842921524370762,0.39722261360459615,-0.16688487865272839,0.09568339619487298,0.9857473509931016
3,2,1,0,1.9327081015211988e-05,0.2590038808440114,0.9838467977871741,0.25535107439391735,0.7057982655442427,0.56894886598369,0.9137939446637168,0.7050215267645028,0.9913569769305712,0.8930219035942593,0.9756542274525162,0.013180269045151986,0.7036603871605531,0.5037156732677057,-0.12315284259935645,0.7039205168606166,0.9816785639114791
3,2,1,1,1.593028230571003e-05,0.2590038808440114,0.9838467977871741,0.25535107439391735,0.7057982655442427,0.56894886598369,0.9137939446637168,0.7050215267645028,0.9913569769305712,0.8961299342962631,0.9755929796785475,0.013158340387355336,0.7050536953197786,0.5045681462530599,-0.12303698383144335,0.7042637525888531,0.9834338620791653
3,2,1,2,6.448007826141924e-05,0.2590038808440114,0.9838467977871741,0.25535107439391735,0.7057982655442427,0.56894886598369,0.9137939446637168,0.7050215267645028,0.9913569769305712,0.860203412760129,0.9673274619392449,0.013133779161920163,0.7036900801832818,0.5038138104568721,-0.12335629758607167,0.7037244440935919,0.9780831641184727
3,2,1,3,1.0752531648950116e-05,0.2590038808440114,0.9838467977871741,0.25535107439391735,0.7057982655442427,0.56894886598369,0.9137939446637168,0.7050215267645028,0.9913569769305712,0.8984873621506251,0.9792912392501951,0.013158551538872165,0.7039629459955414,0.5031016262055162,-0.12309526326601405,0.7043508211324825,0.9830545581578539
3,2,1,4,1.7713597626462662e-05,0.2590038808440114,0.9838467977871741,0.25535107439391735,0.7057982655442427,0.56894886598369,0.9137939446637168,0.7050215267645028,0.9913569769305712,0.8883135795737448,0.9757857925711086,0.013126714389572905,0.7038794634859628,0.5038790871709511,-0.12333028891650707,0.704238759491199,0.9825687078191148
