fid,dim,iid,rep,obj_value,set_skewness,set_quad_simp_r2,set_fd,set_lin_inter_r2,set_nbc_sd,set_nbc_cor,set_lin_simple_r2,set_quad_inter_r2,cma_skewness,cma_quad_simp_r2,cma_fd,cma_lin_inter_r2,cma_nbc_sd,cma_nbc_cor,cma_lin_simple_r2,cma_quad_inter_r2
4,3,1,8,0.008346458919152139,0.4332924590534124,0.7398501788807871,0.026852342693587765,0.3288355789922341,0.7571967243957165,0.859938416695231,0.32614635495024097,0.9351866670710394,0.6242297541089332,0.762931974978669,0.0030156701857680986,0.32980232812281207,0.7194680902628336,-0.19381128330127,0.31856181179458665,0.8492058556638556
4,3,1,9,0.011528327425037873,0.4332924590534124,0.7398501788807871,0.026852342693587765,0.3288355789922341,0.7571967243957165,0.859938416695231,0.32614635495024097,0.9351866670710394,0.2868079124763283,0.7547462407959342,0.0030988081037245123,0.3524003591158721,0.7182818913799024,-0.20413086271736042,0.34495644802664627,0.8341687871125917
5,3,1,7,9.111572746159725e-06,0.11527559602275707,1.0,0.5686021526704899,1.0,0.6696829588760358,0.9106626363841065,1.0,1.0,-0.008624166035540025,0.9953370700813833,0.04710223693155564,0.9958699937987043,0.6713048473024364,-0.16407154981889657,0.9952492013860385,0.9966875098937109
5,3,1,8,5.412091974520191e-06,0.11527559602275707,1.0,0.5686021526704899,1.0,0.6696829588760358,0.9106626363841065,1.0,1.0,-0.008722296620527974,0.9965006005149007,0.04714030182849164,0.9967322936075411,0.6711743921186943,-0.16415931924280855,0.996465330424598,0.9973815293484357
5,3,1,9,7.073791681205996e-06,0.11527559602275707,1.0,0.5686021526704899,1.0,0.6696829588760358,0.9106626363841065,1.0,1.0,-0.008297875312699465,0.9960734419259129,0.047097263182140185,0.9962225216667379,0.6711887855526599,-0.16392703582354098,0.9960406402116658,0.9967503375236052
6,3,1,7,0.01485910984869796,0.38152720073991764,0.7393436305648995,5.608411252885864e-05,0.8486246611927921,0.8231246140740085,0.9692775349191356,0.6334156907067945,0.9880493873424322,0.07969337495484531,0.7977629967097182,0.002723494968891324,0.7589410987438912,0.7420016531074178,-0.18305345773471587,0.752663432185748,0.8562656667503773
6,3,1,8,0.017217941503572774,0.38152720073991764,0.7393436305648995,5.608411252885864e-05,0.8486246611927921,0.8231246140740085,0.9692775349191356,0.6334156907067945,0.9880493873424322,0.05077688219158209,0.7845905747721281,0.0030441461008864717,0.7690568792937167,0.7229702850761235,-0.19847597251472293,0.7674838727812825,0.830716376409896
6,3,1,9,0.014882453328322184,0.38152720073991764,0.7393436305648995,5.608411252885864e-05,0.8486246611927921,0.8231246140740085,0.9692775349191356,0.6334156907067945,0.9880493873424322,-0.018502846523436593,0.7810135367520131,0.0018600998209697905,0.7758715838037102,0.7490123888296271,-0.1572124167972743,0.7666567144473982,0.8469154635889407
7,3,1,7,0.0006994076265796757,0.2666505003258941,0.6992223676075481,0.10877962686082814,0.42412103766087356,0.7610092431965862,0.7722655047380592,0.13893438631300634,0.9897629135342414,0.7490451674650074,0.6799599914974789,0.009061383801822222,0.4040795976517296,0.7210324294813486,-0.24082068822548786,0.14953429720692346,0.9557871015115943
7,3,1,8,0.0009700427729645393,0.2666505003258941,0.6992223676075481,0.10877962686082814,0.42412103766087356,0.7610092431965862,0.7722655047380592,0.13893438631300634,0.9897629135342414,0.6619709220031197,0.681906127602681,0.009181514193013982,0.4040078541222655,0.7219832964890287,-0.23852472190011564,0.1542106982189232,0.9467017573596724
7,3,1,9,0.001281765272311844,0.2666505003258941,0.6992223676075481,0.10877962686082814,0.42412103766087356,0.7610092431965862,0.7722655047380592,0.13893438631300634,0.9897629135342414,0.6310778677576941,0.6683000760114206,0.00940266620779449,0.39255259353594685,0.726524991427748,-0.24005060359662,0.16518216971639899,0.9435597626900225
8,3,1,7,0.0017869148811352634,0.2861620566643863,0.8564070355549187,0.0177942406743191,0.4102451597754267,0.7428684923335831,0.7637584840920637,0.3891453858726683,0.9777365227576764,0.5703904192506059,0.8697385859983738,0.0021638234919930254,0.396966878436225,0.7122793249434467,-0.24449577133945805,0.39887832125999456,0.9186765055812728
8,3,1,8,0.00169332760298789,0.2861620566643863,0.8564070355549187,0.0177942406743191,0.4102451597754267,0.7428684923335831,0.7637584840920637,0.3891453858726683,0.9777365227576764,0.617899723855341,0.8806545065797269,0.0021784155524169654,0.40984377270331607,0.7117843331997178,-0.24280297764315625,0.38669326079079347,0.9172858342360581
8,3,1,9,0.0021338956327649856,0.2861620566643863,0.8564070355549187,0.0177942406743191,0.4102451597754267,0.7428684923335831,0.7637584840920637,0.3891453858726683,0.9777365227576764,0.42370012033644483,0.8653395481549928,0.002090816032855575,0.39891527106255276,0.709532620977556,-0.2450484504323244,0.394623195856473,0.9276693596369918
9,3,1,7,0.007499040597069847,0.38346075523608736,0.4947357964658304,0.014159752951761344,0.4283991445325679,0.7598316880187294,0.8025197893360877,0.07568630612443024,0.9124847715796773,0.492832970116606,0.48582499321041783,0.003024445453678491,0.39271451947543345,0.724049102115886,-0.2298481700470589,0.1644541241106603,0.8308150775169253
9,3,1,8,0.012468206335483728,0.38346075523608736,0.4947357964658304,0.014159752951761344,0.4283991445325679,0.7598316880187294,0.8025197893360877,0.07568630612443024,0.9124847715796773,0.2649112026800596,0.5167222045043627,0.0029754768596063014,0.35337101280675876,0.7150714222212967,-0.2386781312226731,0.20265064432524316,0.7670040125675102
9,3,1,9,0.008217529850094392,0.38346075523608736,0.4947357964658304,0.014159752951761344,0.4283991445325679,0.7598316880187294,0.8025197893360877,0.07568630612443024,0.9124847715796773,0.4194487769716777,0.47419226406148174,0.0034450892492739493,0.3690313737760377,0.7160459128147133,-0.23492415371624753,0.16871523193296267,0.8428564976295709
